,storeTypeId,totalOrders,totalOrdersUSD,cantidadMetodosDePago,warehouseId,cityId,countryId,locationId,storeStatusId,isActive,hasChiperSuppliedPOS
994,0.8791209,0.017391304,0.017867638,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
361,0.8901099,0.0,0.00940355,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
3289,0.8791209,0.0,0.0006205316,0.5,0.04,0.6,0.0,0.3125,0.42857143,0.0,0.0
3179,0.8791209,0.0,0.00033511326,0.5,0.04,0.6,0.0,0.3125,0.0,0.0,0.0
3746,0.8791209,0.034782607,0.0029867806,0.5,0.04,0.6,0.0,0.3125,0.42857143,0.0,0.0
2941,0.94505495,0.0,0.0011269273,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
5481,0.9230769,0.0,0.00035784696,0.5,0.624,0.2,0.0,1.0,0.42857143,0.0,0.0
1126,0.8791209,0.008695652,0.011719771,0.5,0.624,0.2,0.0,1.0,0.42857143,0.0,0.0
4883,0.8791209,0.0,0.0010200005,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
4250,0.9120879,0.0,0.00070313126,0.5,0.04,0.6,0.0,0.3125,0.0,0.0,0.0
1831,0.9120879,0.0,0.0019554202,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
1020,0.94505495,0.008695652,0.013789059,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
218,0.8791209,0.017391304,0.030412162,0.5,0.624,0.2,0.0,1.0,0.42857143,0.0,0.0
4012,0.94505495,0.0,0.001049627,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
1413,0.9230769,0.0,0.0023652283,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
5117,0.8791209,0.0,0.0012014796,0.5,0.0,0.1,0.0,0.0625,0.42857143,0.0,0.0
771,0.94505495,0.008695652,0.014536483,0.5,0.08,1.0,1.0,0.5625,0.0,0.0,0.0
4734,0.94505495,0.0,0.0012046979,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
13,0.8791209,0.0,0.0033356338,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
2451,0.8791209,0.0,0.0007334447,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
4770,0.94505495,0.0,0.0003008032,0.5,0.08,1.0,1.0,0.5625,0.0,0.0,0.0
1160,0.94505495,0.0,0.0016023852,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
4983,0.8901099,0.0,0.00044223957,0.5,0.096,0.0,0.0,0.0,0.42857143,0.0,0.0
2165,0.94505495,0.0,0.0037378136,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
4738,0.94505495,0.0,0.00039740786,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
133,0.9230769,0.09565217,0.1591047,1.0,0.0,0.1,0.0,0.0625,0.42857143,0.0,0.0
2645,0.8791209,0.008695652,0.0019584703,0.5,0.04,0.6,0.0,0.3125,0.42857143,0.0,0.0
5693,0.94505495,0.0,0.00037111944,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
827,1.0,0.0,0.0044156313,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
2347,0.94505495,0.0,0.0008984016,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
2031,0.94505495,0.0,0.0025397062,0.5,0.08,1.0,1.0,0.5625,0.42857143,0.0,0.0
